Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime,,,
Janasheen,28-Nov-03,1.37 Cr,3.87 Cr,6.19 Cr,9.7,,,
Kal Ho Naa Ho,28-Nov-03,2.17 Cr,6.71 Cr,12.45 Cr,38,,,
Out Of Control,21-Nov-03,0.72 Cr,2.15 Cr,3.31 Cr,4.7,,,
Pinjar,24-Oct-03,0.39 Cr,1.08 Cr,1.79 Cr,3.4,,,
Sssshhh?,24-Oct-03,0.46 Cr,1.18 Cr,1.98 Cr,3.6,,,
Khel,03-Oct-03,1.01 Cr,2.92 Cr,4.48 Cr,6.9,,,
Baghban,03-Oct-03,0.90 Cr,2.92 Cr,5.39 Cr,20,,,
Zameen,26-Sep-03,1.45 Cr,4.22 Cr,6.58 Cr,11,,,
Boom,19-Sep-03,1.27 Cr,3.58 Cr,5.28 Cr,6.2,,,
Parwana,12-Sep-03,0.74 Cr,2.07 Cr,3.10 Cr,4.3,,,
Market,12-Sep-03,0.32 Cr,0.99 Cr,1.58 Cr,2.8,,,
Kuch Naa Kaho,05-Sep-03,0.71 Cr,2.22 Cr,3.70 Cr,6.4,,,
Calcutta Mail,05-Sep-03,0.45 Cr,1.29 Cr,1.95 Cr,2.5,,,
Gangaajal,29-Aug-03,1.08 Cr,3.10 Cr,5.22 Cr,10,,,
Mumbai Se Aaya Mera Dost,22-Aug-03,0.52 Cr,1.43 Cr,2.11 Cr,2.4,,,
Footpath,15-Aug-03,0.62 Cr,1.76 Cr,2.74 Cr,4.1,,,
Tere Naam,15-Aug-03,1.85 Cr,4.78 Cr,7.74 Cr,14,,,
Koi Mil Gaya,08-Aug-03,2.25 Cr,6.45 Cr,12.90 Cr,47,,,
Oops?,01-Aug-03,N.A. Cr,N.A. Cr,N.A. Cr,0,,,
Chori Chori,01-Aug-03,0.48 Cr,1.42 Cr,2.23 Cr,3.1,,,
Hungama,01-Aug-03,0.80 Cr,2.53 Cr,4.45 Cr,12,,,
Darna Mana Hai,25-Jul-03,0.86 Cr,2.52 Cr,3.84 Cr,5.1,,,
Jaal ?€? The Trap,18-Jul-03,1.09 Cr,2.97 Cr,4.62 Cr,7.1,,,
Qayamat,11-Jul-03,1.87 Cr,5.34 Cr,9.08 Cr,17,,,
Hawa,04-Jul-03,0.54 Cr,1.50 Cr,2.38 Cr,3.7,,,
Main Prem Ki Diwani Hoon,27-Jun-03,1.24 Cr,3.81 Cr,6.77 Cr,17,,,
Supari,20-Jun-03,0.45 Cr,1.25 Cr,1.85 Cr,2.6,,,
Chalte Chalte,13-Jun-03,1.50 Cr,4.52 Cr,8.23 Cr,19,,,
Khwahish,06-Jun-03,0.35 Cr,1.03 Cr,1.70 Cr,3.3,,,
Nayee Padosan,06-Jun-03,0.36 Cr,1.10 Cr,1.80 Cr,3,,,
Bhoot,30-May-03,1.27 Cr,3.69 Cr,6.43 Cr,14,,,
Jajantaram Mamantram,30-May-03,0.32 Cr,1.02 Cr,1.78 Cr,3.6,,,
Andaaz,23-May-03,1.44 Cr,4.39 Cr,6.97 Cr,15,,,
Armaan,16-May-03,0.75 Cr,0.05 Cr,3.94 Cr,6.8,,,
Ishq Vishk,09-May-03,0.58 Cr,1.80 Cr,3.19 Cr,7.7,,,
The Hero,11-Apr-03,2.22 Cr,6.31 Cr,10.74 Cr,26,,,
Saaya,07-Apr-03,0.47 Cr,1.39 Cr,2.17 Cr,3.2,,,
Ek Aur Ek Gyarah,28-Mar-03,1.10 Cr,3.19 Cr,5.26 Cr,11,,,
Om,21-Mar-03,0.31 Cr,0.88 Cr,1.34 Cr,2.2,,,
Chura Liyaa Hai Tumne,21-Mar-03,0.41 Cr,1.18 Cr,1.93 Cr,3.1,,,
Baaz,07-Feb-03,0.43 Cr,1.19 Cr,1.82 Cr,2.8,,,
Khushi,07-Feb-03,0.74 Cr,2.18 Cr,3.76 Cr,9,,,
Dum,24-Jan-03,0.53 Cr,1.59 Cr,2.76 Cr,5,,,
Kucch To Hai,24-Jan-03,0.70 Cr,2.06 Cr,3.57 Cr,6.7,,,
Jism,17-Jan-03,0.67 Cr,1.91 Cr,3.37 Cr,8.1,,,
Dil Ka Rishta,17-Jan-03,0.56 Cr,1.76 Cr,2.89 Cr,5.5,,,
Talaash?€? The Hunt Begins,03-Jan-03,0.95 Cr,4.39 Cr,7.86 Cr,7.8,,,
Tujhe Meri Kasam,03-Jan-03,0.16 Cr,0.61 Cr,1.09 Cr,8.9,,,
Dil Maange More,31-Dec-04,0.85 Cr,2.53 Cr,3.95 Cr,5.4,,,
Ab Tumhare Hawale Watan Sathiyo,24-Dec-04,1.63 Cr,4.58 Cr,7.19 Cr,11,,,
Raincoat,24-Dec-04,0.29 Cr,0.98 Cr,1.59 Cr,2.5,,,
Swades,17-Dec-04,1.63 Cr,5.15 Cr,8.28 Cr,16,,,
Musafir,10-Dec-04,1.70 Cr,5.00 Cr,7.76 Cr,11,,,
Hulchul,26-Nov-04,1.50 Cr,4.65 Cr,8.32 Cr,20,,,
Naach,12-Nov-04,0.42 Cr,1.53 Cr,2.34 Cr,3.1,,,
Veer Zaara,12-Nov-04,2.46 Cr,9.78 Cr,17.57 Cr,41,,,
Aitraaz,12-Nov-04,1.18 Cr,4.46 Cr,7.66 Cr,15,,,
Vaastu Shastra,22-Oct-04,0.92 Cr,2.68 Cr,4.20 Cr,6.9,,,
Tauba Tauba,01-Oct-04,0.42 Cr,1.21 Cr,1.99 Cr,3.6,,,
Tumsa Nahin Dekha,24-Sep-04,0.54 Cr,1.51 Cr,2.37 Cr,3.4,,,
Madhoshi,24-Sep-04,0.50 Cr,1.45 Cr,2.20 Cr,3,,,
Dil Ne Jise Apna Kahaa,10-Sep-04,1.09 Cr,3.22 Cr,4.95 Cr,6.8,,,
Rakht,03-Sep-04,1.19 Cr,3.00 Cr,4.24 Cr,5.3,,,
Phir Milenge,27-Aug-04,0.27 Cr,0.88 Cr,1.47 Cr,2.5,,,
Dhoom,27-Aug-04,1.85 Cr,5.82 Cr,10.51 Cr,31,,,
Fida,20-Aug-04,1.60 Cr,4.52 Cr,6.80 Cr,9.7,,,
Kyun! Ho Gaya Na,13-Aug-04,1.27 Cr,3.86 Cr,5.80 Cr,7.8,,,
Taarzan ?€? The Wonder Car,06-Aug-04,0.67 Cr,2.00 Cr,3.01 Cr,4.2,,,
Mujhse Shaadi Karogi,30-Jul-04,2.45 Cr,7.29 Cr,12.21 Cr,29,,,
Julie,23-Jul-04,1.08 Cr,3.07 Cr,5.03 Cr,9.1,,,
Asambhav,23-Jul-04,0.62 Cr,1.68 Cr,2.47 Cr,3.1,,,
Gayab,16-Jul-04,1.38 Cr,3.95 Cr,5.74 Cr,7.1,,,
Garv,09-Jul-04,1.92 Cr,5.42 Cr,8.77 Cr,14,,,
Deewaar ?€? Lets bring our heroes home,25-Jun-04,1.72 Cr,5.01 Cr,8.05 Cr,13,,,
Lakshya,18-Jun-04,2.30 Cr,6.92 Cr,11.67 Cr,23,,,
Dev,11-Jun-04,1.15 Cr,3.38 Cr,5.02 Cr,6.8,,,
Girlfriend,11-Jun-04,0.44 Cr,1.31 Cr,2.04 Cr,3.9,,,
Aan ?€? Men at Work,04-Jun-04,1.40 Cr,3.98 Cr,6.12 Cr,9.2,,,
Hum Tum,28-May-04,1.23 Cr,4.04 Cr,7.49 Cr,21,,,
Yuva,21-May-04,1.61 Cr,4.96 Cr,8.13 Cr,14,,,
Run,14-May-04,0.76 Cr,2.18 Cr,3.28 Cr,4.7,,,
Lakeer,14-May-04,0.95 Cr,2.50 Cr,3.60 Cr,4.8,,,
Main Hoon Na,30-Apr-04,2.72 Cr,8.03 Cr,14.57 Cr,36,,,
Bardaasht,23-Apr-04,0.53 Cr,1.45 Cr,2.17 Cr,2.9,,,
Krishna Cottage,16-Apr-04,0.66 Cr,1.87 Cr,2.81 Cr,3.9,,,
Masti,09-Apr-04,1.80 Cr,5.47 Cr,9.13 Cr,20,,,
Murder,02-Apr-04,1.03 Cr,2.95 Cr,5.27 Cr,15,,,
Ab Tak Chhappan,27-Feb-04,0.68 Cr,0.22 Cr,3.76 Cr,8.6,,,
Tum?,20-Feb-04,0.34 Cr,0.98 Cr,1.55 Cr,2.8,,,
Kismat,20-Feb-04,0.69 Cr,1.97 Cr,3.02 Cr,4.9,,,
I ?€? Proud To Be An Indian,13-Feb-04,0.49 Cr,1.31 Cr,1.87 Cr,2.4,,,
Rudraksh,13-Feb-04,1.22 Cr,3.25 Cr,4.70 Cr,5.9,,,
Paap,30-Jan-04,0.46 Cr,1.21 Cr,1.80 Cr,2.5,,,
Aetbaar,23-Jan-04,0.67 Cr,1.88 Cr,2.80 Cr,4.2,,,
Khakee,23-Jan-04,2.05 Cr,6.10 Cr,10.81 Cr,25,,,
Ek Hasina Thi,16-Jan-04,0.62 Cr,1.78 Cr,2.73 Cr,4.6,,,
Plan,09-Jan-04,1.13 Cr,3.02 Cr,4.47 Cr,6.4,,,
Chameli,09-Jan-04,0.44 Cr,1.39 Cr,2.13 Cr,3.2,,,
Shikhar,30-Dec-05,1.21 Cr,3.62 Cr,5.27 Cr,6.6,,,
Dosti ?€? Friends Forever,23-Dec-05,1.28 Cr,3.55 Cr,5.58 Cr,8.7,,,
Vaah! Life Ho Toh Aisi,23-Dec-05,0.86 Cr,2.51 Cr,3.80 Cr,5.8,,,
Bluffmaster,16-Dec-05,1.60 Cr,5.21 Cr,8.56 Cr,18,,,
Neal ?€?n?€? Nikki,09-Dec-05,1.05 Cr,2.98 Cr,4.40 Cr,6,,,
Ek Ajnabee,09-Dec-05,1.10 Cr,3.12 Cr,4.68 Cr,6.9,,,
Kalyug,09-Dec-05,0.68 Cr,1.97 Cr,3.18 Cr,7.2,,,
Apaharan,02-Dec-05,1.90 Cr,5.63 Cr,8.90 Cr,15,,,
Deewane Huye Paagal,25-Nov-05,2.24 Cr,6.49 Cr,10.00 Cr,15,,,
Ek Khiladi Ek Haseena,18-Nov-05,0.98 Cr,2.68 Cr,3.94 Cr,4.7,,,
Garam Masala,02-Nov-05,3.02 Cr,7.11 Cr,14.13 Cr,29,,,
Kyon Ki,02-Nov-05,1.92 Cr,4.44 Cr,8.08 Cr,12,,,
Shaadi No.1,02-Nov-05,1.82 Cr,4.37 Cr,7.63 Cr,11,,,
Hanuman,21-Oct-05,0.25 Cr,0.90 Cr,1.58 Cr,5.3,,,
Chocolate,16-Sep-05,0.85 Cr,2.42 Cr,3.70 Cr,6.6,,,
Salaam Namaste,09-Sep-05,2.15 Cr,6.84 Cr,11.49 Cr,26,,,
Aashiq Banaya Aapne,02-Sep-05,0.85 Cr,2.56 Cr,3.89 Cr,6.3,,,
No Entry,26-Aug-05,1.72 Cr,7.98 Cr,14.08 Cr,44,,,
Iqbal,26-Aug-05,0.13 Cr,0.52 Cr,0.98 Cr,3.8,,,
Barsaat,19-Aug-05,1.59 Cr,4.46 Cr,6.78 Cr,9.9,,,
Mangal Pandey ?€? The Rising,12-Aug-05,3.24 Cr,9.59 Cr,17.37 Cr,27,,,
Viruddh,22-Jul-05,1.17 Cr,3.65 Cr,5.89 Cr,10,,,
Maine Pyaar Kyun Kiya,15-Jul-05,2.40 Cr,6.95 Cr,11.56 Cr,25,,,
Fareb,08-Jul-05,0.14 Cr,0.34 Cr,0.54 Cr,0.7,,,
Dus,08-Jul-05,2.92 Cr,8.22 Cr,12.82 Cr,23,,,
Sarkar,01-Jul-05,2.43 Cr,6.86 Cr,11.57 Cr,24,,,
Paheli,24-Jun-05,2.02 Cr,5.76 Cr,8.75 Cr,12,,,
Bach Ke Rehna Re Baba,17-Jun-05,0.64 Cr,1.79 Cr,2.82 Cr,3.6,,,
Parineeta,10-Jun-05,1.15 Cr,3.97 Cr,6.77 Cr,16,,,
D ?€? Underworld,03-Jun-05,1.00 Cr,2.80 Cr,4.23 Cr,5.9,,,
Bunty Aur Babli,27-May-05,2.68 Cr,8.66 Cr,14.37 Cr,36,,,
Naina,20-May-05,0.68 Cr,2.13 Cr,3.41 Cr,4.8,,,
Jo Bole So Nihaal,13-May-05,1.60 Cr,4.32 Cr,6.70 Cr,8.2,,,
Kyaa Kool Hai Hum,06-May-05,0.92 Cr,3.21 Cr,5.32 Cr,15,,,
Kaal,29-Apr-05,2.71 Cr,7.53 Cr,11.45 Cr,19,,,
Waqt ?€? Race Against Time,22-Apr-05,1.91 Cr,5.78 Cr,9.37 Cr,20,,,
Mumbai Xpress,15-Apr-05,0.45 Cr,1.38 Cr,2.16 Cr,3.5,,,
Lucky ?€? No Time For Love,06-Apr-05,2.32 Cr,6.57 Cr,10.15 Cr,15,,,
Shabd,02-Apr-05,0.94 Cr,2.61 Cr,3.86 Cr,5.4,,,
Tango Charlie,25-Mar-05,1.15 Cr,3.11 Cr,4.74 Cr,7.1,,,
Zeher,25-Mar-05,0.64 Cr,2.06 Cr,3.45 Cr,7.3,,,
Karam,12-Mar-05,0.77 Cr,2.22 Cr,3.41 Cr,4.9,,,
Bewafaa,25-Feb-05,1.93 Cr,5.62 Cr,8.87 Cr,16,,,
Jurm,18-Feb-05,0.76 Cr,2.13 Cr,3.18 Cr,4.2,,,
Black,04-Feb-05,1.03 Cr,3.43 Cr,6.47 Cr,23,,,
Blackmail,28-Jan-05,0.81 Cr,2.13 Cr,3.10 Cr,4.1,,,
Kisna,21-Jan-05,1.49 Cr,4.22 Cr,6.59 Cr,8.2,,,
Page 3,21-Jan-05,0.18 Cr,0.72 Cr,1.53 Cr,8.8,,,
Elaan,14-Jan-05,1.16 Cr,3.06 Cr,4.65 Cr,7.5,,,
Insan,14-Jan-05,0.92 Cr,2.41 Cr,3.72 Cr,6.5,,,
Vaada,07-Jan-05,0.95 Cr,2.62 Cr,3.85 Cr,5.4,,,
Bhagam Bhag,22-Dec-06,3.43 Cr,11.34 Cr,20.91 Cr,40,,,
Kabul Express,15-Dec-06,1.49 Cr,4.87 Cr,7.21 Cr,11,,,
Baabul,06-Dec-06,2.23 Cr,6.88 Cr,10.81 Cr,17,,,
Dhoom 2,24-Nov-06,5.85 Cr,17.41 Cr,32.00 Cr,81,,,
Vivah,10-Nov-06,0.83 Cr,2.84 Cr,5.63 Cr,31,,,
Apna Sapna Money Money,10-Nov-06,1.94 Cr,5.70 Cr,8.83 Cr,14,,,
Umrao Jaan,03-Nov-06,1.52 Cr,4.27 Cr,6.09 Cr,7.4,,,
Don ?€? The Chase Begins Again,20-Oct-06,4.65 Cr,14.18 Cr,24.44 Cr,50,,,
Jaan-E-Mann,20-Oct-06,2.43 Cr,8.02 Cr,13.60 Cr,25,,,
Woh Lamhe,29-Sep-06,0.82 Cr,2.68 Cr,4.18 Cr,6.8,,,
Khosla Ka Ghosla,22-Sep-06,0.26 Cr,1.01 Cr,1.65 Cr,4.5,,,
Rocky ?€? The Rebel,22-Sep-06,0.41 Cr,1.33 Cr,1.83 Cr,2.1,,,
Dor,22-Sep-06,0.14 Cr,0.51 Cr,0.90 Cr,2.7,,,
Shiva,15-Sep-06,0.56 Cr,1.52 Cr,2.18 Cr,2.4,,,
Pyaar Ke Side Effects,15-Sep-06,0.72 Cr,2.42 Cr,3.91 Cr,8.3,,,
Naksha,08-Sep-06,1.39 Cr,3.76 Cr,5.43 Cr,6.6,,,
Dil Diya Hai,08-Sep-06,0.51 Cr,1.44 Cr,2.06 Cr,2.3,,,
Lage Raho Munnabhai,01-Sep-06,3.38 Cr,10.95 Cr,20.39 Cr,74,,,
Aap Ki Khatir,25-Aug-06,1.24 Cr,3.59 Cr,5.33 Cr,6.3,,,
Kabhi Alvida Naa Kehna,11-Aug-06,5.18 Cr,16.62 Cr,27.79 Cr,44,,,
Anthony Kaun Hai?,04-Aug-06,1.31 Cr,3.52 Cr,4.98 Cr,6.1,,,
Omkara,28-Jul-06,2.78 Cr,8.43 Cr,13.22 Cr,23,,,
The Killer,21-Jul-06,0.99 Cr,2.73 Cr,3.88 Cr,4.6,,,
Golmaal: Fun Unlimited,14-Jul-06,2.32 Cr,7.54 Cr,12.89 Cr,29,,,
Corporate,07-Jul-06,1.17 Cr,3.69 Cr,5.89 Cr,10,,,
Krrish,23-Jun-06,6.00 Cr,17.34 Cr,29.30 Cr,72,,,
Phir Hera Pheri,09-Jun-06,3.28 Cr,9.86 Cr,17.75 Cr,40,,,
Chup Chup Ke,09-Jun-06,1.28 Cr,4.18 Cr,7.08 Cr,13,,,
Shaadi Se Pehle,04-Jun-06,1.52 Cr,4.53 Cr,6.92 Cr,10,,,
Fanaa,26-May-06,3.96 Cr,11.74 Cr,20.32 Cr,51,,,
Tom Dick and Harry,12-May-06,1.19 Cr,3.48 Cr,5.52 Cr,9.2,,,
Tathastu,12-May-06,0.43 Cr,1.15 Cr,1.65 Cr,1.9,,,
36 China Town,05-May-06,2.57 Cr,7.55 Cr,11.93 Cr,23,,,
Darna Zaroori Hai,28-Apr-06,1.34 Cr,3.72 Cr,5.37 Cr,6.4,,,
Gangster,28-Apr-06,1.07 Cr,3.47 Cr,5.82 Cr,12,,,
Pyare Mohan,21-Apr-06,1.89 Cr,5.72 Cr,8.48 Cr,11,,,
Humko Deewana Kar Gaye,14-Apr-06,1.90 Cr,5.41 Cr,8.44 Cr,14,,,
Saawan ?€? The Love Season,06-Apr-06,0.80 Cr,2.14 Cr,3.06 Cr,3.4,,,
Being Cyrus,24-Mar-06,0.38 Cr,1.33 Cr,2.21 Cr,3.9,,,
Malamaal Weekly,10-Mar-06,1.73 Cr,5.91 Cr,10.26 Cr,26,,,
Teesri Aankh ?€? The Hidden Camera,03-Mar-06,0.70 Cr,2.19 Cr,3.11 Cr,4.1,,,
Taxi Number 9211,24-Feb-06,1.61 Cr,5.17 Cr,8.62 Cr,19,,,
Fight Club ?€? Members Only,17-Feb-06,1.00 Cr,2.80 Cr,4.02 Cr,5.4,,,
Mere Jeevan Saathi,03-Feb-06,0.40 Cr,1.13 Cr,1.69 Cr,2.4,,,
Aksar,03-Feb-06,0.95 Cr,2.85 Cr,4.64 Cr,8.5,,,
Rang De Basanti,26-Jan-06,3.12 Cr,7.69 Cr,15.35 Cr,53,,,
Zinda,12-Jan-06,1.30 Cr,3.63 Cr,5.92 Cr,10,,,
Family ?€? Ties of Blood,12-Jan-06,1.38 Cr,3.77 Cr,5.70 Cr,8.5,,,
Jawani Diwani ?€? A Youthful Joyride,06-Jan-06,0.94 Cr,2.58 Cr,3.70 Cr,4.7,,,
Welcome,27-Dec-07,3.32 Cr,16.52 Cr,33.41 Cr,70,,,
Taare Zameen Par,21-Dec-07,2.62 Cr,9.65 Cr,16.57 Cr,61,,,
Dus Kahaniyaan,07-Dec-07,1.20 Cr,4.02 Cr,5.98 Cr,7.7,,,
Aaja Nachle,30-Nov-07,1.85 Cr,6.16 Cr,9.03 Cr,14,,,
Dhan Dhana Dhan Goal,23-Nov-07,2.05 Cr,6.43 Cr,9.55 Cr,13,,,
Om Shanti Om,09-Nov-07,5.53 Cr,21.47 Cr,36.38 Cr,78,,,
Good Boy Bad Boy,05-Nov-07,0.97 Cr,3.24 Cr,4.81 Cr,7.2,,,
Jab We Met,26-Oct-07,1.75 Cr,6.82 Cr,11.80 Cr,31,,,
Laaga Chunari Mein Daag,12-Oct-07,2.02 Cr,7.36 Cr,11.17 Cr,17,,,
Bhool Bhulaiyaa,12-Oct-07,3.88 Cr,14.37 Cr,23.50 Cr,49,,,
Johnny Gaddaar,28-Sep-07,0.54 Cr,1.87 Cr,2.83 Cr,4,,,
Dhol,21-Sep-07,1.72 Cr,5.56 Cr,8.96 Cr,16,,,
Saawariya,11-Sep-07,3.00 Cr,11.23 Cr,16.86 Cr,20,,,
Darling,07-Sep-07,0.58 Cr,1.77 Cr,2.50 Cr,2.9,,,
Dhamaal,07-Sep-07,2.38 Cr,8.00 Cr,13.65 Cr,32,,,
Red,03-Sep-07,0.75 Cr,2.36 Cr,3.37 Cr,3.9,,,
Ram Gopal Varma Ki Aag,31-Aug-07,1.72 Cr,4.96 Cr,6.98 Cr,7.3,,,
Heyy Babyy,24-Aug-07,4.77 Cr,15.17 Cr,0 Cr N.A,24,,,
Buddha Mar Gaya,17-Aug-07,0.62 Cr,1.94 Cr,2.73 Cr,2.9,,,
Chak De India,10-Aug-07,3.07 Cr,11.53 Cr,21.53 Cr,66,,,
Gandhi My Father,03-Aug-07,0.46 Cr,1.58 Cr,2.37 Cr,3.4,,,
Cash,03-Aug-07,3.73 Cr,11.08 Cr,15.90 Cr,18,,,
Naqaab,13-Jul-07,2.31 Cr,7.10 Cr,10.26 Cr,12,,,
Awarapan,29-Jun-07,0.79 Cr,2.88 Cr,4.47 Cr,7.7,,,
Apne,29-Jun-07,1.89 Cr,6.22 Cr,10.34 Cr,22,,,
Aap Ka Surroor ?€? The Moviee,29-Jun-07,1.79 Cr,5.25 Cr,8.04 Cr,12,,,
Jhoom Barabar Jhoom,15-Jun-07,4.47 Cr,13.93 Cr,20.53 Cr,27,,,
The Train,08-Jun-07,0.96 Cr,3.08 Cr,4.37 Cr,5.1,,,
Shakalaka Boom Boom,04-Jun-07,1.29 Cr,4.04 Cr,5.68 Cr,6.7,,,
Fool n Final,01-Jun-07,2.63 Cr,8.19 Cr,12.47 Cr,17,,,
Cheeni Kum,25-May-07,1.00 Cr,3.97 Cr,6.75 Cr,17,,,
Shootout At Lokhandwala,25-May-07,3.46 Cr,10.68 Cr,16.72 Cr,29,,,
Life In A?€? Metro,11-May-07,0.87 Cr,3.52 Cr,6.23 Cr,15,,,
Ta Ra Rum Pum,27-Apr-07,3.66 Cr,11.42 Cr,18.05 Cr,38,,,
Kya Love Story Hai,20-Apr-07,0.60 Cr,1.89 Cr,2.59 Cr,2.9,,,
Big Brother,13-Apr-07,0.82 Cr,2.42 Cr,3.50 Cr,4.9,,,
Bheja Fry,13-Apr-07,0.27 Cr,1.22 Cr,2.41 Cr,8.9,,,
Provoked,06-Apr-07,0.28 Cr,0.90 Cr,1.45 Cr,2.4,,,
Namastey London,23-Mar-07,2.83 Cr,9.04 Cr,15.69 Cr,37,,,
Just Married,16-Mar-07,0 Cr N.A,0 Cr N.A,3.24 Cr,4.1,,,
Hattrick,16-Mar-07,0.93 Cr,2.91 Cr,4.03 Cr,4.8,,,
Nishabd,02-Mar-07,1.15 Cr,3.73 Cr,5.46 Cr,7.5,,,
Nehlle Pe Dehlla,02-Mar-07,0.67 Cr,1.95 Cr,2.76 Cr,3.2,,,
Honeymoon Travels Pvt Ltd.,23-Feb-07,1.17 Cr,3.84 Cr,6.09 Cr,11,,,
Eklavya ?€? The Royal Guard,16-Feb-07,3.19 Cr,9.65 Cr,13.97 Cr,18,,,
Black Friday,09-Feb-07,0.47 Cr,1.78 Cr,2.88 Cr,4.7,,,
Traffic Signal,02-Feb-07,1.04 Cr,3.52 Cr,5.45 Cr,8.4,,,
Salaam-E-Ishq,26-Jan-07,4.19 Cr,11.15 Cr,16.26 Cr,22,,,
Risk,19-Jan-07,0.55 Cr,1.78 Cr,2.45 Cr,2.8,,,
Guru,12-Jan-07,3.37 Cr,11.14 Cr,18.70 Cr,45,,,
Ghajini,25-Dec-08,0 Cr N.A,0 Cr N.A,55.16 Cr,114,,,
Jumbo,25-Dec-08,0.33 Cr,1.16 Cr,1.66 Cr,2.5,,,
Rab Ne Bana Di Jodi,12-Dec-08,6.76 Cr,24.32 Cr,41.79 Cr,84,,,
Dil Kabaddi,05-Dec-08,0.60 Cr,2.14 Cr,3.27 Cr,3.8,,,
Oye Lucky! Lucky Oye!,28-Nov-08,0.70 Cr,2.97 Cr,4.63 Cr,6.7,,,
Yuvvraaj,21-Nov-08,2.88 Cr,9.02 Cr,12.94 Cr,16,,,
Dostana,14-Nov-08,5.29 Cr,17.53 Cr,26.74 Cr,44,,,
Emi,07-Nov-08,1.03 Cr,3.35 Cr,4.71 Cr,5,,,
Fashion,29-Oct-08,2.44 Cr,6.78 Cr,14.40 Cr,26,,,
Golmaal Returns,29-Oct-08,5.89 Cr,17.56 Cr,33.90 Cr,51,,,
Heroes,24-Oct-08,2.09 Cr,6.78 Cr,10.38 Cr,12,,,
Roadside Romeo,24-Oct-08,0.66 Cr,2.25 Cr,3.39 Cr,4.5,,,
Karzzzz,17-Oct-08,2.05 Cr,6.24 Cr,9.06 Cr,10,,,
Hello,10-Oct-08,1.97 Cr,6.27 Cr,9.70 Cr,12,,,
Kidnap,02-Oct-08,4.88 Cr,9.89 Cr,15.84 Cr,20,,,
Drona,02-Oct-08,1.79 Cr,4.00 Cr,7.67 Cr,8.9,,,
Welcome to Sajjanpur,19-Sep-08,1.13 Cr,4.19 Cr,6.42 Cr,9.8,,,
1920,12-Sep-08,0.89 Cr,3.25 Cr,5.84 Cr,10,,,
A Wednesday !,05-Sep-08,0.44 Cr,1.92 Cr,3.53 Cr,11,,,
C Kkompany,29-Aug-08,0.73 Cr,2.28 Cr,3.14 Cr,3.4,,,
Rock On!!,29-Aug-08,1.66 Cr,6.02 Cr,9.59 Cr,25,,,
Phoonk,22-Aug-08,1.35 Cr,4.37 Cr,6.64 Cr,9.8,,,
Mumbai Meri Jaan,22-Aug-08,0.44 Cr,1.57 Cr,2.44 Cr,3.5,,,
God Tussi Great Ho,15-Aug-08,2.43 Cr,6.42 Cr,9.85 Cr,12,,,
Bachna Ae Haseeno,15-Aug-08,4.87 Cr,13.15 Cr,20.07 Cr,36,,,
Singh Is Kinng,08-Aug-08,7.24 Cr,25.53 Cr,39.38 Cr,67,,,
Ugly Aur Pagli,01-Aug-08,1.32 Cr,4.53 Cr,6.68 Cr,7.1,,,
Money Hai Toh Honey Hai,25-Jul-08,0.69 Cr,2.26 Cr,3.32 Cr,3.8,,,
Mission Istaanbul,25-Jul-08,1.18 Cr,3.86 Cr,5.36 Cr,6.3,,,
Kismat Konnection,18-Jul-08,3.41 Cr,11.45 Cr,16.81 Cr,22,,,
Contract,18-Jul-08,0.58 Cr,1.90 Cr,2.54 Cr,2.6,,,
Love Story 2050,04-Jul-08,2.03 Cr,6.72 Cr,9.73 Cr,11,,,
Jaane Tu?€? Ya Jaane Na,04-Jul-08,3.45 Cr,12.21 Cr,21.01 Cr,55,,,
Thoda Pyaar Thoda Magic,27-Jun-08,3.34 Cr,11.52 Cr,16.85 Cr,21,,,
De Taali,20-Jun-08,1.50 Cr,4.83 Cr,7.26 Cr,8.4,,,
Mere Baap Pehle Aap,13-Jun-08,2.77 Cr,9.96 Cr,15.27 Cr,22,,,
Sarkar Raj,06-Jun-08,4.97 Cr,16.42 Cr,23.83 Cr,34,,,
Jannat,16-May-08,2.64 Cr,8.97 Cr,14.24 Cr,30,,,
Bhoothnath,09-May-08,2.45 Cr,8.64 Cr,13.62 Cr,23,,,
Mr. White Mr. Black,02-May-08,0.55 Cr,1.78 Cr,2.49 Cr,2.8,,,
Tashan,25-Apr-08,3.92 Cr,1.22 Cr,18.68 Cr,29,,,
Krazzy 4,11-Apr-08,2.73 Cr,8.96 Cr,13.59 Cr,19,,,
U Me Aur Hum,11-Apr-08,2.21 Cr,7.59 Cr,12.08 Cr,20,,,
One Two Three,28-Mar-08,2.15 Cr,7.53 Cr,11.46 Cr,17,,,
Race,21-Mar-08,6.32 Cr,21.06 Cr,33.33 Cr,60,,,
Black & White,07-Mar-08,0.55 Cr,2.01 Cr,3.32 Cr,5.3,,,
Jodhaa Akbar,15-Feb-08,3.81 Cr,13.32 Cr,21.83 Cr,56,,,
Mithya,08-Feb-08,0.48 Cr,1.79 Cr,2.99 Cr,5.1,,,
Sunday,25-Jan-08,2.31 Cr,7.78 Cr,12.03 Cr,20,,,
Halla Bol,11-Jan-08,1.87 Cr,6.28 Cr,9.27 Cr,12,,,
Bolo Raam,31-Dec-09,N.A. Cr,N.A. Cr,N.A. Cr,0.4,,,
